Default Report,,,
Last Modified: 2018-02-21 06:55:08 MST,,,
,,,
,,,
QID9 - Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,,,
#,Answer,%,Count
6,clever,41.67%,20
7,inspirational,14.58%,7
8,dark,2.08%,1
,Total,100%,48
,,,
QID61 - Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,,,
#,Answer,%,Count
1,young,30.77%,12
2,busy,2.56%,1
3,hilarious,0.00%,0
4,sleepy,10.26%,4
5,bad,53.85%,21
6,adorable,0.00%,0
7,sexy,0.00%,0
8,hungry,2.56%,1
,Total,100%,39
,,,
QID63 - Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,,,
#,Answer,%,Count
1,hilarious,10.81%,4
2,hungry,29.73%,11
3,busy,10.81%,4
4,deadly,5.41%,2
5,pretty,13.51%,5
6,dying,0.00%,0
7,dead,2.70%,1
8,stunning,27.03%,10
,Total,100%,37
,,,
QID65 - Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,,,
#,Answer,%,Count
1,deadly,5.13%,2
2,dangerous,7.69%,3
3,adorable,12.82%,5
4,bad,10.26%,4
5,lazy,0.00%,0
6,hilarious,2.56%,1
7,clean,35.90%,14
8,sexy,25.64%,10
,Total,100%,39
,,,
QID67 - Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,,,
#,Answer,%,Count
1,crazy,5.26%,2
2,clear,2.63%,1
3,bad,2.63%,1
4,peaceful,36.84%,14
5,illegal,0.00%,0
6,beautiful,28.95%,11
7,strong,23.68%,9
8,adorable,0.00%,0
,Total,100%,38
,,,
QID69 - Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,,,
#,Answer,%,Count
1,excellent,0.00%,0
2,peaceful,40.00%,12
3,dark,0.00%,0
4,faithful,6.67%,2
5,gorgeous,13.33%,4
6,beautiful,23.33%,7
7,weak,13.33%,4
8,creepy,3.33%,1
,Total,100%,30
,,,
QID71 - Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,,,
#,Answer,%,Count
1,comfortable,0.00%,0
2,adorable,34.78%,16
3,peaceful,0.00%,0
4,dying,2.17%,1
5,lost,2.17%,1
6,expensive,0.00%,0
7,young,50.00%,23
8,little,10.87%,5
,Total,100%,46
,,,
QID73 - Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,,,
#,Answer,%,Count
1,adorable,2.78%,1
2,sad,0.00%,0
3,fancy,27.78%,10
4,deadly,2.78%,1
5,hungry,58.33%,21
6,dead,2.78%,1
7,powerful,2.78%,1
8,young,2.78%,1
,Total,100%,36
,,,
QID75 - Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,,,
#,Answer,%,Count
1,proud,40.00%,14
2,fresh,22.86%,8
3,clear,5.71%,2
4,empty,0.00%,0
5,divine,14.29%,5
6,jealous,0.00%,0
7,young,8.57%,3
8,clever,8.57%,3
,Total,100%,35
,,,
QID77 - Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,,,
#,Answer,%,Count
1,excellent,5.00%,2
2,loud,0.00%,0
3,wicked,0.00%,0
4,difficult,17.50%,7
5,successful,77.50%,31
6,insane,0.00%,0
7,tired,0.00%,0
8,jealous,0.00%,0
,Total,100%,40
,,,
QID79 - Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,,,
#,Answer,%,Count
1,violent,7.14%,3
2,bad,2.38%,1
3,dry,0.00%,0
4,gorgeous,4.76%,2
5,inspirational,2.38%,1
6,successful,83.33%,35
7,little,0.00%,0
8,hilarious,0.00%,0
,Total,100%,42
,,,
QID81 - Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,,,
#,Answer,%,Count
1,adorable,0.00%,0
2,wet,71.05%,27
3,pretty,7.89%,3
4,angry,2.63%,1
5,clear,15.79%,6
6,sleepy,2.63%,1
7,safe,0.00%,0
8,sad,0.00%,0
,Total,100%,38
,,,
QID83 - Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,,,
#,Answer,%,Count
1,outdoor,69.77%,30
2,lazy,2.33%,1
3,shy,0.00%,0
4,stupid,11.63%,5
5,young,4.65%,2
6,innocent,2.33%,1
7,inspirational,4.65%,2
8,dark,4.65%,2
,Total,100%,43
,,,
QID85 - Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,,,
#,Answer,%,Count
1,sick,8.16%,4
2,creepy,14.29%,7
3,hungry,55.10%,27
4,innocent,2.04%,1
5,sleepy,2.04%,1
6,confused,6.12%,3
7,young,10.20%,5
8,loud,2.04%,1
,Total,100%,49
,,,
QID87 - Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?,,,
#,Answer,%,Count
1,stupid,0.00%,0
