Duration (in seconds),QID9,QID10,QID12,QID13,QID15,QID16,QID18,QID19,QID21,QID22,QID24,QID25,QID27,QID28,QID30,QID31,QID33,QID34,QID36,QID37,QID39,QID40,QID42,QID43,QID45,QID46,QID48,QID49,QID51,QID52,QID54,QID55,QID57,QID58,QID60,QID61,QID63,QID64,QID66,QID67,QID69,QID70,QID72,QID73,QID75,QID76,QID78,QID79,QID81,QID82,QID84,QID85,QID87,QID88,QID90,QID91,QID93,QID94,QID96,QID97,QID99,QID100,QID102,QID103,QID105,QID106,QID108,QID109,QID111,QID112,QID114,QID115,QID117,QID118,QID120,QID121,QID123,QID124,QID126,QID127,QID129,QID130,QID132,QID133,QID135,QID136,QID138,QID139,QID141,QID142,QID144,QID145,QID147,QID148,QID150,QID151,QID153,QID154,QID156,QID157,QID159,QID160,QID162,QID163,QID165,QID166,QID168,QID169,QID171,QID172,QID174,QID175,QID177,QID178,QID180,QID181,QID183,QID184,QID186,QID187,QID189,QID190,QID192,QID193,QID195,QID196,random
834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cute,2,clean,1,angry,2,clear,3,safe,3,lonely,3,safe,2,faithful,2,dark,2,clever,3,healthy,2,weird,2,young,2,,,dark,2,smooth,3,lonely,2,sleepy,1,clear,3,beautiful,1,sexy,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90771
419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,2,innocent,2,dangerous,2,strong,1,extreme,3,successful,4,safe,4,lazy,4,dark,5,weird,2,healthy,4,bright,3,young,2,dumb,3,dark,5,,,lonely,3,violent,3,extreme,2,beautiful,1.5,funny,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54745
828,,,clean,4,faithful,4,comfortable,4,safe,4,bitter,4,safe,5,lazy,4,jealous,5,clever,4,healthy,4,bright,4,stunning,4,funny,4,dark,4,healthy,4,lonely,4,sleepy,4,extreme,4,beautiful,4,funny,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80020
625,empty,3,innocent,2,faithful,1,,,safe,5,bitter,2,safe,4,faithful,2,fat,2,clever,4,creepy,1,weird,2,hurt,1,funny,3,dark,1,healthy,1,weird,1,dying,2,healthy,1,beautiful,2.5,sexy,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95604
629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,adorable,3,,,faithful,2,strong,4,extreme,1,successful,3,safe,3,insane,3,dark,2,clever,3,creepy,3,bright,3,hurt,3,faithful,3,nasty,1,smooth,1,lonely,3,sleepy,3,clear,3,beautiful,4,funny,1,66178
762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,1,clean,1,faithful,1,clear,1,safe,1,successful,5,safe,1,lazy,1,dark,5,,,healthy,1,bright,5,young,1,dumb,5,dark,1,healthy,5,weird,1,dying,1,clear,1,beautiful,1,funny,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61926
1127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cute,1,,,dangerous,2,clear,1,extreme,1,successful,1,safe,1,lazy,1,dark,4,difficult,1,healthy,3,bright,1,young,4,funny,2,dark,3,healthy,3,weird,2,violent,3,extreme,2,dead,1,fat,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79425
864,empty,3,clean,3,faithful,3,comfortable,2,safe,3.5,bitter,2,safe,2,faithful,2,dark,1,difficult,3,,,bright,2,young,2,faithful,2,dark,2,healthy,2,weird,2,sleepy,2,healthy,2,beautiful,2,funny,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81934
553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,adorable,5,talented,2,dangerous,1,,,extreme,3.5,lonely,2,extreme,4,lazy,3,dark,5,weird,2,healthy,5,weird,3,young,5,dumb,5,dark,5,healthy,5,insane,4,violent,5,healthy,3,dead,4,fat,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82811
819,adorable,3,clean,2,dangerous,2,strong,3,safe,3,successful,3,safe,2,faithful,2,dark,3,difficult,2,healthy,3,,,young,3,funny,2,dark,3,healthy,3,lonely,2,sleepy,2,clear,3,beautiful,3,funny,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66068
