Duration (in seconds),QID8,QID9,QID11,QID12,QID14,QID15,QID17,QID18,QID20,QID21,QID23,QID24,QID26,QID27,QID29,QID30,QID32,QID33,QID35,QID36,QID38,QID39,QID41,QID42,QID44,QID45,QID47,QID48,QID50,QID51,QID53,QID54,QID56,QID57,QID59,QID60,QID62,QID63,QID65,QID66,QID68,QID69,QID71,QID72,QID74,QID75,QID77,QID78,QID80,QID81,QID83,QID84,QID86,QID87,QID89,QID90,QID92,QID93,QID95,QID96,QID98,QID99,QID101,QID102,QID104,QID105,QID107,QID108,QID110,QID111,QID113,QID114,QID116,QID117,QID119,QID120,QID122,QID123,QID125,QID126,QID128,QID129,QID131,QID132,QID134,QID135,QID137,QID138,QID140,QID141,QID143,QID144,QID146,QID147,QID149,QID150,QID152,QID153,QID155,QID156,QID158,QID159,QID161,QID162,QID164,QID165,QID167,QID168,QID170,QID171,QID173,QID174,QID176,QID177,QID179,QID180,QID182,QID183,QID185,QID186,QID188,QID189,QID191,QID192,QID194,QID195,QID197,QID198,QID200,QID201,QID203,QID204,QID206,QID207,QID209,QID210,QID212,QID213,QID215,QID216,QID218,QID219,QID221,QID222,QID224,QID225,QID227,QID228,QID230,QID231,QID233,QID234,QID236,QID237,QID239,QID240,QID242,QID243,QID245,QID246,QID248,QID249,QID251,QID252,QID254,QID255,QID257,QID258,QID260,QID261,QID263,QID264,QID266,QID267,QID269,QID270,QID272,QID273,QID275,QID276,random
308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"performance,gift",3,"country,road",5,,,"heart,country",4,,,"birthday,food",3,"wedding,performance",3,,,"performance,wedding",4,"baby,relationship",5,"text,road",4,"business,family",5,,,"weight,business",4,"friend,family",5,"relationship,security",5,"beer,money",4,,,,,"hair,eyes",5,"death,child",2,,,"baby,friend",5,"history,performance",4,"wedding,night",3,"weight,room",3,,,"night,eyes",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1873872
776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,hands",4,"wedding,history",2,"performance,hair",4,,,"hands,legs",5,,,,,,,"performance,weight",4,"road,beer",2,"family,wedding",3,"baby,relationship",3,"text,road",2,,,,,"weight,business",4,"friend,family",1,"relationship,birthday",3,"beer,money",3,,,"hands,birthday",4,"hair,eyes",4,,,"performance,birthday",2,"baby,friend",4,"wedding,history",2,"evening,night",1,,,,,"night,beer",5,1829074
628,"heart,hands",1,,,"performance,gift",2,"country,road",3,"hands,legs",2,"heart,country",2,"area,room",2,,,"wedding,weight",3,,,,,"relationship,text",3,"text,road",4,"weight,family",2,"birthday,night",2,,,"friend,family",1,"relationship,birthday",2,,,"city,night",4,"hands,birthday",2,"hair,eyes",2.5,"death,child",3,"performance,birthday",3,,,,,"evening,night",3,,,"god,animal",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3942417
435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,hands",4,"death,history",4,,,,,"hands,birthday",2,,,"area,legs",3,,,"performance,weight",4,"business,beer",3,"performance,wedding",4,,,"text,apple",3,,,"sky,night",4,,,"friend,family",4,"relationship,security",4,"beer,money",4,"beer,night",4,"hands,country",3,,,"death,child",4,"performance,security",5,"baby,friend",4,,,"evening,wedding",3,"weight,room",4,"birthday,god",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3345965
459,"heart,hands",4,"death,history",4,,,,,,,,,"area,room",5,"room,food",4,"wedding,performance",4,"road,business",4,"performance,wedding",4,"baby,text",2,,,"business,family",4,,,"weight,business",4,"friend,family",5,"relationship,birthday",3,"business,money",2,"city,night",5,,,,,"death,child",5,,,"baby,friend",5,"history,performance",3,,,"weight,room",5,"god,animal",4,"night,beer",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3938691
457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,hands",5,,,"performance,gift",5,,,"hands,birthday",5,"heart,country",5,"area,room",5,"birthday,room",5,"wedding,performance",5,"road,business",4,,,"baby,relationship",5,,,,,"birthday,sky",5,"weight,business",5,,,"relationship,security",5,"business,beer",5,"city,beer",5,"hands,country",5,"birthday,hair",5,"beer,death",5,,,"phone,baby",4,"wedding,history",5,,,,,"birthday,god",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2896880
546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,artist",5,"wedding,death",5,"gift,hair",5,"country,chocolate",5,,,"heart,performance",5,"room,legs",5,,,,,"business,beer",5,"performance,family",5,"baby,relationship",5,"text,apple",5,"business,family",5,"birthday,sky",5,,,"friend,family",5,,,"business,money",5,,,"hands,country",5,"birthday,eyes",5,,,"performance,security",5,"baby,friend",5,,,"evening,wedding",5,,,"god,animal",5,,,2686303
149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"performance,gift",2,"country,chocolate",1,"hands,legs",1,"heart,country",1,,,"birthday,food",2,"wedding,weight",3,"road,beer",3,"performance,family",4,,,"text,road",2,,,"sky,night",1,"weight,business",4,"phone,friend",4,,,,,"city,beer",1,"hands,country",2,"birthday,hair",3,,,"performance,birthday",2,"phone,baby",3,,,,,"holiday,weight",2,"birthday,god",1,"night,beer",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2028815
269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"hands,artist",3,,,,,,,"hands,legs",3,"country,performance",3,"area,room",3,"birthday,food",3,"performance,weight",3.5,"road,business",4,"performance,wedding",3,"baby,relationship",3,"text,road",4,"business,family",4,,,"business,birthday",3,"friend,family",4,"relationship,security",4,"business,beer",3,"city,night",3,,,"hair,eyes",4,,,,,"baby,friend",4,,,"evening,night",3,,,,,"eyes,beer",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1414601
352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,hands",4,"wedding,death",5,"performance,gift",4,"country,chocolate",5,,,,,"area,room",4,"birthday,food",5,,,"road,business",4,"performance,family",5,,,"text,road",5,"weight,business",5,"birthday,sky",4,"weight,business",4,,,"relationship,security",5,,,"city,beer",5,,,"birthday,hair",5,"beer,death",4,"performance,birthday",5,,,,,,,"holiday,weight",4,"birthday,god",5,"night,eyes",5,4818674
378,,,,,"performance,gift",3,"country,chocolate",4,,,"country,performance",4,"area,room",3,"birthday,food",4,"wedding,performance",3,"business,beer",4,"performance,family",4,,,"text,apple",3,"business,family",3,,,,,,,"relationship,security",4,"business,money",3,,,"hands,birthday",4,"hair,eyes",4,"death,child",4,,,"baby,friend",2,"wedding,history",3,,,"holiday,room",3,"birthday,god",4,"night,beer",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4791961
492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,hands",4,,,"performance,hair",4,,,"hands,legs",3,,,,,"birthday,food",3,,,"business,beer",3,,,"baby,relationship",5,"road,apple",3,"weight,family",4,"birthday,sky",4,"business,birthday",3,"friend,family",3,,,"beer,money",3,"beer,night",2.5,,,"birthday,eyes",4,"beer,death",4,"performance,birthday",4,"baby,friend",4,"history,performance",3.5,,,,,"birthday,animal",4,"night,beer",3,3191520
