Duration (in seconds),QID8,QID9,QID11,QID12,QID14,QID15,QID17,QID18,QID20,QID21,QID23,QID24,QID26,QID27,QID29,QID30,QID32,QID33,QID35,QID36,QID38,QID39,QID41,QID42,QID44,QID45,QID47,QID48,QID50,QID51,QID53,QID54,QID56,QID57,QID59,QID60,QID62,QID63,QID65,QID66,QID68,QID69,QID71,QID72,QID74,QID75,QID77,QID78,QID80,QID81,QID83,QID84,QID86,QID87,QID89,QID90,QID92,QID93,QID95,QID96,QID98,QID99,QID101,QID102,QID104,QID105,QID107,QID108,QID110,QID111,QID113,QID114,QID116,QID117,QID119,QID120,QID122,QID123,QID125,QID126,QID128,QID129,QID131,QID132,QID134,QID135,QID137,QID138,QID140,QID141,QID143,QID144,QID146,QID147,QID149,QID150,QID152,QID153,QID155,QID156,QID158,QID159,QID161,QID162,QID164,QID165,QID167,QID168,QID170,QID171,QID173,QID174,QID176,QID177,QID179,QID180,QID182,QID183,QID185,QID186,QID188,QID189,QID191,QID192,QID194,QID195,random
316,"heart,hands",3,"car,area",3,"country,road",3,"hands,legs",4,"area,legs",2,"weight,performance",4,"hands,car",3,"performance,heart",4,"birthday,night",3,"text,road",4,"family,performance",5,"room,city",3,"friend,family",5,"beer,money",4,"hair,eyes",3,,,"chocolate,death",3,"history,performance",3,"wedding,night",4,"phone,birthday",3,"birthday,animal",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18167
393,"heart,artist",3,"car,area",2,"country,road",2,"hands,legs",2,"room,legs",2,"legs,performance",2,"hands,car",2,"performance,beer",2,"sky,night",2,"text,apple",2,"family,performance",3,"room,city",2,"friend,family",4,"business,beer",2,"birthday,hair",3,"family,child",2,"heart,chocolate",2,"history,performance",2,"evening,wedding",2,"phone,birthday",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45496
483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"car,area",3,"country,chocolate",4,"hands,legs",4,"area,room",3,"weight,performance",2,"hands,car",3,"performance,heart",3,"birthday,night",2,"text,road",3,"family,performance",3,"room,city",4,"friend,family",4,"business,money",2,"hair,eyes",4,"family,child",3,"heart,death",3.5,"history,performance",4,"evening,wedding",2,"phone,birthday",3,"birthday,animal",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31560
418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,hands",3,"chocolate,area",3,"country,road",2,"hands,legs",3,"area,room",3,"weight,performance",2,"hands,apple",2,"performance,beer",2,"sky,night",4,"text,road",2,"text,performance",2,"room,city",1,"friend,family",3,,,"hair,eyes",2,"god,family",2,"heart,death",3,"wedding,history",2,"evening,wedding",2,"family,birthday",2,"birthday,god",2,43723
418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,hands",3,,,"country,road",3,"hands,legs",1,"area,room",3,"weight,performance",2,"hands,apple",1,"performance,beer",3,"sky,night",5,"text,road",2,"text,performance",3,"room,city",2,"friend,family",3,"beer,money",4,"hair,eyes",3,"family,child",2,"heart,death",2,"history,performance",2,"wedding,night",2,"family,birthday",3,"birthday,god",2,14861
455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"hands,artist",2,"car,area",2,"country,road",4,"hands,legs",1,"area,room",3,"weight,performance",2,"hands,car",3,"performance,heart",1,"birthday,night",3,"text,apple",2,"text,performance",1,,,"friend,family",2,"business,money",1,"hair,eyes",5,"god,family",1,"heart,death",2,"history,performance",4,"evening,night",4,"family,phone",2,"birthday,animal",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48223
566,"heart,artist",2,"car,area",4,"chocolate,road",1,"hands,legs",2,"area,legs",1,"weight,legs",5,"hands,car",5,"performance,beer",5,"birthday,night",3,"text,road",5,"family,performance",2,"room,city",1,,,"business,beer",2,"hair,eyes",3,"family,child",4,"chocolate,death",5,"wedding,history",2,"evening,night",5,"phone,birthday",1,"birthday,animal",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18872
513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,hands",4,"car,area",3,"country,road",4,"hands,legs",4,"area,legs",4,"weight,performance",3,"hands,car",3,"heart,beer",3,"sky,night",4,"text,road",3,"family,performance",3,"room,city",4,"friend,family",4,"business,money",3,"hair,eyes",4,,,"heart,chocolate",3,"history,performance",4,"evening,night",3,"family,phone",3,"birthday,animal",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30926
830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,artist",5,"car,area",3,"country,road",5,"hands,legs",4,"area,room",4,"weight,legs",3,"car,apple",5,"heart,beer",4,,,"text,road",3,"family,performance",5,"room,city",5,"friend,family",5,"business,money",4,"hair,eyes",5,"family,child",5,"heart,chocolate",5,"history,performance",5,"evening,night",4,"family,phone",5,"birthday,animal",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11172
637,"heart,artist",2,"car,area",4,"country,chocolate",1,"hands,birthday",1,,,"weight,legs",1,"hands,car",1,"performance,beer",1,"birthday,sky",1,"text,road",1,"text,family",1,"room,city",1,"friend,family",3,"business,money",1,"birthday,hair",1,"family,child",3,"heart,death",4,"wedding,performance",1,"evening,night",5,"family,phone",1,"god,animal",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45324
